[CrossWire] *[Spurious]  	(1.0)  	- Tischendorf's Spurious Passages of the GNT
[CrossWire] *[Swahili]  	(1.1)  	- Swahili New Testament
[CrossWire] *[Swe1917]  	(1.5.1)  	- Swedish Bible (1917)
[CrossWire] *[SweFolk1998]  	(1.2)  	- Svenska Folkbibeln (1998)
[CrossWire] *[SweKarlXII]  	(1.0)  	- Svenska Karl XII:s Bibel (1703)
[CrossWire] *[SweKarlXII1873]  	(1.0)  	- Svenska Karl XII:s Bibel (1873)
[CrossWire] *[TDavid]  	(1.1)  	- C. H. Spurgeon's Treasury of David
[CrossWire] *[TFG]  	(1.5)  	- The Fourfold Gospel and Commentary on Acts of Apostles
[CrossWire] *[TNT]  	(2.0)  	- Tregelles' Greek New Testament
[CrossWire] *[TR]  	(2.4)  	- Textus Receptus (1550/1894)
[CrossWire] *[TS1998]  	(1.5)  	- The Scriptures 1998 by Institute for Scripture Research
[CrossWire] *[TSK]  	(1.4)  	- Treasury of Scripture Knowledge
[CrossWire] *[TagAngBiblia]  	(1.2)  	- Philippine Bible Society (1905)
[CrossWire] *[Tagalog]  	(1.1)  	- Tagalog (John & James)
[CrossWire] *[Tausug]  	(1.0)  	- Tausug Kitab Injil
[CrossWire] *[ThaiKJV]  	(2.0)  	- Thai King James Version
[CrossWire] *[Tisch]  	(1.3)  	- Tischendorf's Eighth Edition GNT
[CrossWire] *[TurHADI]  	(1.1)  	- Turkish Easy-to-Read Translation (HADI)
[CrossWire] *[TurNTB]  	(2.0)  	- Kutsal Kitap (New Turkish Bible)
[CrossWire] *[Twenty]  	(1.1)  	- Twentieth Century New Testament
[CrossWire] *[Tyndale]  	(1.0)  	- William Tyndale Bible (1525/1530)
[CrossWire] *[UKJV]  	(1.1.1)  	- Updated King James Version
[CrossWire] *[UkrKulish]  	(1.1)  	- Новий Завіт. Переклад П. Куліша (1871)
[CrossWire] *[Ukrainian]  	(1.4)  	- Українська Біблія. Переклад Івана Огієнка.
[CrossWire] *[Uma]  	(1.2)  	- Uma New Testament
[CrossWire] *[UrduGeo]  	(1.2.1)  	- Urdu Geo Version (UGV)
[CrossWire] *[UrduGeoDeva]  	(1.2.1)  	- Urdu Geo Version (UGV), Devanagari Edition
[CrossWire] *[VarApp]  	(1.0)  	- NT Manuscript Variant Apparatus
[CrossWire] *[Viet]  	(1.4.1)  	- Kinh Thánh Tiếng Việt (1934)
[CrossWire] *[VietLCCMN]  	(1.0)  	- Lời Chúa Cho Mọi Người
[CrossWire] *[VietLCCMNCT]  	(1.0)  	- Lời Chúa Cho Mọi Người Chú Thích
[CrossWire] *[VietNVB]  	(1.4)  	- New Vietnamese Bible (2002)
[CrossWire] *[VulgClementine]  	(1.0.2)  	- Vulgata Clementina
[CrossWire] *[VulgConte]  	(1.0.2)  	- Vulgata Clementina, Conte editore
[CrossWire] *[VulgGlossa]  	(1.0.1)  	- Glossa ordinaria, ed. Migne
[CrossWire] *[VulgHetzenauer]  	(1.0.2)  	- Vulgata Clementina, Hetzenauer editore
[CrossWire] *[VulgSistine]  	(1.0.2)  	- Vulgata Sistina
[CrossWire] *[Vulgate]  	(1.1)  	- Latin Vulgate
[CrossWire] *[Vulgate_HebPs]  	(1.1)  	- Latin Vulgate Psalms from Hebrew
[CrossWire] *[WEB]  	(3.1)  	- World English Bible
[CrossWire] *[WEBBE]  	(3.1)  	- World English Bible: British Edition
[CrossWire] *[WEBME]  	(3.1)  	- World English Bible: Messianic Edition
[CrossWire] *[WHNU]  	(2.4)  	- Westcott and Hort with NA27/UBS4 variants
[CrossWire] *[WLC]  	(1.9)  	- Westminster Leningrad Codex
[CrossWire] *[Webster]  	(1.2)  	- Webster Bible
[CrossWire] *[WelBeiblNet]  	(2.5.1)  	- beibl.net
[CrossWire] *[Wesley]  	(1.1)  	- John Wesley's Notes on the Bible
[CrossWire] *[Weymouth]  	(1.1)  	- Weymouth NT (1912)
[CrossWire] *[Worsley]  	(1.6)  	- 1770 John Worsley NT
[CrossWire] *[Wulfila]  	(1.0.1)  	- Bishop Wulfila Gothic Bible
[CrossWire] *[Wycliffe]  	(1.0)  	- John Wycliffe Bible (1395)
[CrossWire] *[YLT]  	(1.1)  	- Young's Literal Translation (1898)
[CrossWire] *[f35]  	(1.0.1)  	- Family 35
[CrossWire] *[sml_BL_2008]  	(1.0.1)  	- Kitab Awal-Jaman maka Kitab Injil
[CrossWire] *[ury_WBTI_2005]  	(1.1)  	- Orya New Testament
[CrossWire Attic] *[Aleppo]  	(1.1)  	- Aleppo Codex
[CrossWire Attic] *[Byz]  	(2.1)  	- The New Testament in the Original Greek: Byzantine Textform 2005
[CrossWire Attic] *[FreCJE]  	(1.0)  	- Chaque jour les Écritures
[CrossWire Attic] *[HNV]  	(1.8)  	- Hebrew Names Version of the World English Bible
[CrossWire Attic] *[FreSegond]  	(1.6)  	- French Traduction de Louis Segond (1910)
[CrossWire Attic] *[RWP]  	(1.9)  	- Robertson's Word Pictures
[CrossWire Attic] *[Barnes]  	(1.1)  	- Barnes' New Testament Notes
[CrossWire Attic] *[FreCrampon]  	(1.1)  	- La Bible Augustin Crampon 1923
[CrossWire Attic] *[Lithuanian]  	(1.6)  	- Lithuanian Bible
[CrossWire Attic] *[WEB]  	(1.8)  	- World English Bible
[CrossWire Attic] *[Elzevir]  	(1.1)  	- Elzevir Textus Receptus (1624)
[CrossWire Attic] *[WelBeiblNet]  	(1.5.1)  	- beibl.net
[CrossWire Attic] *[WHNU]  	(2.1)  	- Westcott and Hort with NA27/UBS4 variants
[CrossWire Attic] *[FrePGR]  	(1.1.1)  	- Bible Perret-Gentil et Rilliet
[CrossWire Attic] *[GerLut1545]  	(1.2.1)  	- German Unrevidierte Luther Übersetzung von 1545
[CrossWire Attic] *[TR]  	(2.1)  	- Textus Receptus (1550/1894)
[CrossWire Attic] *[AraSVD]  	(1.1)  	- Smith and van Dyck's al-Kitab al-Muqaddas (Arabic Bible)
[CrossWire Attic] *[Azeri]  	(1.5.1)  	- مقدَس کتاب آذربايجان ديلی
[CrossWire Attic] *[TNT]  	(1.1)  	- Tregelles' Greek New Testament
[CrossWire Attic] *[KorRV]  	(1.5)  	- 개역성경
[CrossWire Attic] *[OTPassages]  	(1.0)  	- Old Testament passages cited in the New Testament
[CrossWire Attic] *[FreBBB]  	(1.2)  	- French Bible Bovet Bonnet (1900)
[CrossWire Attic] *[UrduGeo]  	(1.1)  	- Urdu Geo Version (UGV)
[CrossWire Attic] *[ThaiKJV]  	(1.5)  	- Thai King James Version
[CrossWire Attic] *[Antoniades]  	(1.1)  	- Antoniades Patriarchal Edition (1904/1912)
[CrossWire Attic] *[Sorani]  	(1.0.1)  	- Bible in Sorani Kurdish language
[CrossWire Attic] *[NorBroed]  	(1.0)  	- Brød Nye Testamente
[CrossWire Attic] *[DRC]  	(1.1)  	- Douay-Rheims Bible, Challoner Revision
[CrossWire Attic] *[ChiUn]  	(2.5)  	- 和合本 (繁體字)
[CrossWire Attic] *[FarsiOPV]  	(1.0)  	- Persian Holy Bible (Tarjumeh-ye Ghadeem)
[CrossWire Attic] *[Rotherham]  	(1.6)  	- The Emphasized Bible by J. B. Rotherham
[CrossWire Attic] *[BurJudson]  	(1.1)  	- 1835 Judson Burmese Bible
[CrossWire Attic] *[AraNAV]  	(1.0.1)  	- New Arabic Version (Ketab El Hayat)
[CrossWire Attic] *[JPS]  	(1.2)  	- Jewish Publication Society Old Testament
